priors_count,score_text,decile_score,c_charge_degree_0,c_charge_degree_1,sex_0,sex_1,race_0,race_1,age_cat_0,age_cat_1,age_cat_2
1,1,4,0,1,1,0,1,0,1,0,0
1,2,7,0,1,0,1,0,1,1,0,0
0,1,2,0,1,0,1,1,0,1,0,0
1,1,2,1,0,0,1,1,0,1,0,0
8,0,10,1,0,0,1,1,0,1,0,0
14,0,10,0,1,0,1,1,0,1,0,0
2,0,9,0,1,0,1,1,0,0,0,1
2,2,7,1,0,0,1,1,0,0,0,1
1,1,2,1,0,1,0,1,0,1,0,0
9,2,7,0,1,0,1,1,0,1,0,0
7,0,8,0,1,0,1,0,1,1,0,0
9,0,8,0,1,0,1,0,1,1,0,0
12,2,7,1,0,0,1,1,0,0,1,0
0,2,7,0,1,1,0,0,1,0,0,1
2,1,1,0,1,0,1,0,1,1,0,0
3,1,1,0,1,0,1,0,1,0,1,0
0,1,1,1,0,1,0,0,1,0,1,0
1,1,4,1,0,0,1,1,0,0,0,1
1,1,2,0,1,0,1,1,0,0,0,1
1,1,2,0,1,0,1,1,0,1,0,0
0,1,1,0,1,1,0,0,1,1,0,0
8,2,6,0,1,0,1,0,1,0,0,1
0,1,4,0,1,0,1,0,1,1,0,0
0,2,5,1,0,0,1,0,1,1,0,0
1,1,4,0,1,1,0,0,1,1,0,0
14,0,9,0,1,0,1,1,0,0,1,0
1,1,1,0,1,0,1,0,1,1,0,0
3,0,9,0,1,0,1,1,0,0,0,1
5,1,4,1,0,0,1,0,1,1,0,0
0,2,5,0,1,0,1,0,1,1,0,0
5,2,5,0,1,0,1,1,0,1,0,0
3,1,2,0,1,0,1,1,0,1,0,0
1,1,2,0,1,0,1,0,1,1,0,0
10,0,9,0,1,0,1,1,0,1,0,0
0,1,4,0,1,0,1,1,0,0,0,1
28,0,8,0,1,0,1,1,0,1,0,0
1,2,7,1,0,0,1,1,0,1,0,0
13,0,10,0,1,0,1,0,1,1,0,0
3,0,9,0,1,0,1,1,0,1,0,0
8,0,9,0,1,0,1,1,0,0,1,0
3,0,9,1,0,0,1,0,1,0,1,0
19,0,10,0,1,0,1,1,0,1,0,0
2,1,1,1,0,1,0,0,1,0,1,0
4,2,6,0,1,0,1,0,1,0,0,1
6,1,3,0,1,0,1,0,1,1,0,0
2,1,4,0,1,1,0,0,1,1,0,0
1,1,2,1,0,0,1,0,1,1,0,0
2,1,1,0,1,0,1,0,1,1,0,0
0,1,2,1,0,0,1,0,1,1,0,0
0,1,2,1,0,1,0,1,0,0,0,1
10,1,4,0,1,1,0,0,1,1,0,0
2,1,2,1,0,0,1,0,1,1,0,0
3,2,7,0,1,0,1,1,0,1,0,0
2,1,3,1,0,0,1,0,1,1,0,0
1,1,2,1,0,0,1,1,0,1,0,0
1,1,2,0,1,0,1,0,1,0,1,0
4,1,4,0,1,1,0,0,1,0,1,0
1,0,10,0,1,1,0,1,0,0,0,1
0,1,1,1,0,1,0,0,1,1,0,0
9,0,8,0,1,0,1,1,0,1,0,0
11,2,6,0,1,0,1,1,0,1,0,0
8,2,5,1,0,0,1,1,0,1,0,0
0,1,3,0,1,1,0,1,0,1,0,0
7,0,9,0,1,1,0,1,0,1,0,0
2,0,9,0,1,0,1,1,0,1,0,0
0,2,6,0,1,1,0,1,0,0,0,1
0,2,6,1,0,1,0,0,1,1,0,0
1,1,1,0,1,1,0,1,0,0,1,0
4,0,10,0,1,1,0,1,0,1,0,0
2,1,4,1,0,1,0,1,0,1,0,0
3,1,1,1,0,0,1,1,0,0,1,0
1,1,4,1,0,0,1,0,1,1,0,0
3,2,7,0,1,1,0,0,1,1,0,0
1,2,7,0,1,0,1,1,0,1,0,0
2,1,2,1,0,0,1,0,1,0,1,0
1,1,2,0,1,0,1,1,0,0,0,1
6,1,1,0,1,0,1,0,1,0,1,0
6,2,6,0,1,1,0,0,1,0,1,0
0,2,5,0,1,0,1,0,1,1,0,0
1,1,2,1,0,0,1,1,0,1,0,0
5,2,7,0,1,1,0,1,0,1,0,0
8,1,4,0,1,0,1,1,0,0,1,0
6,0,10,0,1,1,0,0,1,1,0,0
1,1,1,0,1,0,1,0,1,0,1,0
6,2,6,1,0,0,1,1,0,1,0,0
1,1,1,1,0,0,1,0,1,0,1,0
0,1,1,0,1,0,1,0,1,0,1,0
22,0,8,0,1,0,1,1,0,1,0,0
1,2,5,0,1,0,1,1,0,0,0,1
23,0,8,1,0,0,1,1,0,0,1,0
0,1,2,1,0,0,1,1,0,0,0,1
2,2,5,0,1,1,0,0,1,1,0,0
3,1,1,0,1,0,1,1,0,0,1,0
8,1,4,1,0,0,1,0,1,0,1,0
13,0,10,0,1,0,1,1,0,1,0,0
2,0,9,1,0,0,1,1,0,1,0,0
0,1,4,0,1,0,1,0,1,1,0,0
9,0,9,0,1,0,1,1,0,1,0,0
2,1,3,0,1,0,1,0,1,0,1,0
0,1,3,0,1,0,1,1,0,0,0,1
2,1,2,1,0,0,1,1,0,1,0,0
1,1,4,1,0,1,0,1,0,0,0,1
1,1,1,0,1,0,1,0,1,0,1,0
0,1,3,1,0,1,0,0,1,1,0,0
4,1,4,1,0,0,1,0,1,1,0,0
23,0,9,0,1,1,0,1,0,1,0,0
2,0,10,0,1,0,1,1,0,1,0,0
0,1,2,1,0,0,1,1,0,1,0,0
0,0,8,0,1,1,0,1,0,1,0,0
11,2,5,0,1,0,1,0,1,1,0,0
7,0,9,0,1,1,0,0,1,1,0,0
2,1,1,0,1,0,1,1,0,1,0,0
2,1,4,1,0,0,1,0,1,1,0,0
1,0,9,0,1,1,0,1,0,1,0,0
7,1,1,0,1,0,1,0,1,0,1,0
15,0,9,0,1,0,1,1,0,1,0,0
2,2,5,1,0,0,1,1,0,1,0,0
3,2,6,0,1,0,1,1,0,0,1,0
1,1,1,0,1,0,1,0,1,0,1,0
0,1,1,1,0,1,0,0,1,0,1,0
0,1,2,1,0,0,1,0,1,0,1,0
0,1,1,0,1,0,1,1,0,0,1,0
4,1,3,0,1,0,1,0,1,1,0,0
2,2,7,0,1,1,0,1,0,1,0,0
5,2,6,1,0,1,0,1,0,1,0,0
11,0,10,0,1,0,1,1,0,1,0,0
0,1,1,1,0,0,1,1,0,1,0,0
11,0,9,0,1,0,1,1,0,0,1,0
2,0,9,0,1,0,1,1,0,0,0,1
2,1,4,0,1,1,0,1,0,1,0,0
0,1,1,1,0,0,1,1,0,1,0,0
0,1,1,0,1,0,1,0,1,0,1,0
13,1,4,0,1,0,1,0,1,1,0,0
0,1,4,0,1,0,1,1,0,0,1,0
1,1,1,0,1,0,1,0,1,1,0,0
11,0,9,1,0,0,1,1,0,1,0,0
1,2,5,0,1,0,1,0,1,1,0,0
0,1,4,0,1,0,1,1,0,0,0,1
4,1,2,0,1,0,1,1,0,1,0,0
0,0,8,0,1,0,1,0,1,1,0,0
0,1,2,0,1,0,1,0,1,1,0,0
14,0,9,0,1,0,1,1,0,1,0,0
4,0,8,1,0,0,1,1,0,1,0,0
1,1,1,1,0,0,1,0,1,0,1,0
25,0,8,0,1,0,1,1,0,1,0,0
8,2,5,1,0,0,1,0,1,1,0,0
0,1,3,0,1,0,1,1,0,1,0,0
1,0,8,1,0,0,1,0,1,0,0,1
8,2,7,0,1,0,1,0,1,1,0,0
4,1,2,0,1,0,1,0,1,1,0,0
3,0,9,1,0,0,1,1,0,0,0,1
1,2,7,1,0,1,0,0,1,0,0,1
3,1,2,1,0,0,1,1,0,1,0,0
5,2,5,0,1,1,0,0,1,0,0,1
1,1,3,1,0,0,1,1,0,1,0,0
1,0,8,0,1,0,1,1,0,0,0,1
2,2,6,0,1,0,1,1,0,1,0,0
4,1,4,0,1,0,1,1,0,1,0,0
2,1,4,1,0,0,1,0,1,1,0,0
2,1,1,0,1,1,0,1,0,1,0,0
0,0,8,0,1,0,1,1,0,0,0,1
0,1,1,0,1,1,0,1,0,0,1,0
0,1,4,0,1,1,0,1,0,0,0,1
0,1,2,0,1,1,0,1,0,0,1,0
8,2,6,0,1,0,1,1,0,0,1,0
0,2,5,0,1,0,1,0,1,1,0,0
0,2,6,0,1,0,1,0,1,1,0,0
11,2,7,0,1,0,1,1,0,1,0,0
3,0,10,1,0,0,1,1,0,0,0,1
1,1,3,0,1,1,0,0,1,0,0,1
2,0,10,0,1,0,1,1,0,1,0,0
2,1,4,0,1,0,1,0,1,1,0,0
2,1,3,1,0,1,0,1,0,1,0,0
24,2,7,1,0,0,1,1,0,1,0,0
3,2,6,0,1,0,1,1,0,0,1,0
0,1,1,0,1,0,1,1,0,1,0,0
3,1,1,0,1,0,1,0,1,1,0,0
3,1,4,1,0,0,1,1,0,1,0,0
1,1,1,1,0,0,1,0,1,0,1,0
6,1,2,0,1,0,1,0,1,0,1,0
3,1,4,0,1,0,1,0,1,0,1,0
0,0,9,1,0,0,1,1,0,0,0,1
1,0,8,1,0,0,1,1,0,1,0,0
5,1,4,1,0,0,1,0,1,1,0,0
1,2,5,0,1,0,1,1,0,0,0,1
5,1,4,1,0,0,1,1,0,1,0,0
0,2,5,0,1,0,1,0,1,0,0,1
5,1,4,0,1,0,1,1,0,1,0,0
2,1,1,0,1,0,1,1,0,1,0,0
6,1,3,0,1,0,1,1,0,1,0,0
1,1,3,1,0,0,1,0,1,1,0,0
2,1,3,0,1,0,1,0,1,0,1,0
0,2,6,1,0,1,0,1,0,0,0,1
1,2,5,0,1,0,1,1,0,0,0,1
4,0,8,1,0,0,1,1,0,0,0,1
0,1,1,0,1,0,1,0,1,0,1,0
4,0,8,1,0,0,1,1,0,1,0,0
5,1,3,0,1,0,1,0,1,1,0,0
5,1,1,0,1,1,0,1,0,1,0,0
0,1,1,1,0,0,1,1,0,1,0,0
0,1,1,1,0,0,1,0,1,1,0,0
3,1,3,1,0,0,1,0,1,1,0,0
0,1,2,0,1,1,0,0,1,1,0,0
0,1,2,0,1,0,1,1,0,1,0,0
0,0,10,0,1,0,1,1,0,0,0,1
0,1,1,1,0,1,0,0,1,0,1,0
0,1,1,1,0,0,1,0,1,0,1,0
7,0,9,0,1,0,1,1,0,1,0,0
0,0,9,0,1,0,1,1,0,0,0,1
6,1,1,0,1,0,1,0,1,0,1,0
8,2,5,0,1,0,1,0,1,1,0,0
2,0,9,0,1,0,1,1,0,0,0,1
36,2,6,0,1,0,1,0,1,0,1,0
2,1,3,1,0,0,1,0,1,1,0,0
1,1,1,0,1,0,1,1,0,0,1,0
0,2,7,0,1,1,0,1,0,1,0,0
2,1,4,1,0,1,0,0,1,1,0,0
1,2,5,0,1,0,1,0,1,1,0,0
0,0,8,0,1,1,0,1,0,0,0,1
0,1,3,1,0,0,1,0,1,1,0,0
0,1,3,0,1,0,1,1,0,0,0,1
3,2,6,0,1,0,1,1,0,1,0,0
0,1,1,0,1,0,1,1,0,1,0,0
0,2,6,1,0,1,0,0,1,1,0,0
2,2,6,0,1,1,0,1,0,1,0,0
12,0,9,0,1,0,1,1,0,1,0,0
1,2,6,0,1,0,1,1,0,0,0,1
3,1,3,0,1,0,1,1,0,0,1,0
0,1,1,0,1,0,1,0,1,1,0,0
2,0,10,0,1,0,1,1,0,0,0,1
0,2,6,0,1,1,0,0,1,0,0,1
0,1,1,1,0,0,1,0,1,0,1,0
2,2,6,0,1,0,1,0,1,0,0,1
6,0,10,1,0,0,1,1,0,1,0,0
0,1,4,0,1,0,1,0,1,0,0,1
0,2,5,0,1,1,0,1,0,0,0,1
3,2,5,0,1,0,1,1,0,0,1,0
2,1,4,1,0,0,1,1,0,1,0,0
0,1,1,1,0,1,0,0,1,0,1,0
0,0,10,1,0,1,0,1,0,1,0,0
3,0,10,0,1,0,1,1,0,0,0,1
0,1,4,0,1,0,1,0,1,1,0,0
1,1,3,0,1,0,1,1,0,0,0,1
2,2,6,1,0,0,1,0,1,0,0,1
18,0,8,0,1,0,1,1,0,0,1,0
4,0,9,0,1,0,1,1,0,0,0,1
0,2,5,0,1,0,1,1,0,0,0,1
1,1,1,1,0,0,1,0,1,1,0,0
1,1,1,1,0,1,0,0,1,0,1,0
0,2,7,0,1,0,1,0,1,1,0,0
7,0,8,0,1,0,1,1,0,1,0,0
1,1,1,1,0,1,0,0,1,0,1,0
0,1,4,0,1,1,0,1,0,0,0,1
1,1,1,0,1,0,1,1,0,1,0,0
1,1,3,1,0,0,1,1,0,1,0,0
1,1,4,1,0,0,1,0,1,0,0,1
6,0,8,0,1,0,1,1,0,1,0,0
4,0,9,0,1,0,1,1,0,0,0,1
3,2,7,1,0,0,1,0,1,0,0,1
23,0,9,0,1,0,1,1,0,1,0,0
2,2,5,0,1,0,1,1,0,1,0,0
2,1,1,0,1,0,1,1,0,0,1,0
1,1,1,0,1,0,1,1,0,0,1,0
7,1,4,0,1,0,1,1,0,1,0,0
23,0,8,0,1,0,1,0,1,0,1,0
0,1,1,1,0,1,0,0,1,0,1,0
12,0,8,0,1,0,1,1,0,1,0,0
5,0,9,0,1,0,1,1,0,1,0,0
3,1,3,1,0,0,1,0,1,1,0,0
5,0,10,0,1,0,1,0,1,0,1,0
14,2,7,0,1,0,1,1,0,1,0,0
2,2,5,0,1,0,1,1,0,1,0,0
0,0,9,1,0,0,1,1,0,0,0,1
6,2,7,0,1,0,1,1,0,1,0,0
0,1,2,0,1,0,1,0,1,1,0,0
2,1,1,0,1,0,1,0,1,0,1,0
5,1,3,0,1,0,1,1,0,0,1,0
9,0,8,0,1,0,1,1,0,1,0,0
4,1,1,0,1,0,1,0,1,0,1,0
3,1,2,0,1,0,1,1,0,1,0,0
0,2,6,1,0,1,0,0,1,1,0,0
0,1,1,1,0,0,1,0,1,0,1,0
0,2,7,0,1,1,0,1,0,0,0,1
1,1,2,0,1,1,0,1,0,1,0,0
11,2,6,0,1,0,1,1,0,0,1,0
0,1,2,1,0,0,1,0,1,1,0,0
0,1,3,0,1,0,1,0,1,0,0,1
2,1,1,1,0,1,0,0,1,0,1,0
7,1,3,1,0,0,1,1,0,1,0,0
1,2,5,0,1,0,1,0,1,0,0,1
8,2,6,0,1,0,1,1,0,1,0,0
0,2,7,0,1,0,1,1,0,0,0,1
0,2,6,1,0,0,1,0,1,1,0,0
8,0,10,0,1,0,1,1,0,1,0,0
21,2,7,1,0,0,1,1,0,0,1,0
3,2,7,0,1,0,1,1,0,0,0,1
0,1,4,0,1,0,1,0,1,1,0,0
1,2,5,0,1,0,1,1,0,0,1,0
3,1,1,1,0,0,1,0,1,1,0,0
3,1,4,0,1,0,1,1,0,1,0,0
3,0,8,0,1,0,1,0,1,0,0,1
0,1,1,0,1,0,1,0,1,1,0,0
2,2,6,0,1,0,1,1,0,1,0,0
3,0,10,0,1,1,0,1,0,0,0,1
1,0,10,0,1,0,1,0,1,0,0,1
2,1,1,1,0,0,1,0,1,1,0,0
0,2,5,0,1,1,0,0,1,0,0,1
0,1,1,1,0,0,1,0,1,1,0,0
1,0,10,0,1,0,1,1,0,0,0,1
1,1,2,1,0,0,1,1,0,0,0,1
4,1,1,0,1,0,1,0,1,0,1,0
3,1,2,0,1,1,0,1,0,0,1,0
1,1,1,1,0,0,1,1,0,1,0,0
5,1,3,0,1,0,1,1,0,1,0,0
0,1,1,1,0,0,1,0,1,0,0,1
16,1,2,0,1,0,1,1,0,0,1,0
2,0,10,0,1,1,0,1,0,0,1,0
0,1,1,1,0,0,1,0,1,1,0,0
13,0,8,1,0,0,1,1,0,1,0,0
16,0,8,0,1,1,0,1,0,0,1,0
1,2,6,1,0,0,1,1,0,1,0,0
3,2,5,0,1,0,1,1,0,1,0,0
6,2,5,0,1,0,1,0,1,0,1,0
1,1,4,0,1,0,1,0,1,1,0,0
5,1,3,0,1,0,1,1,0,0,1,0
10,0,9,0,1,0,1,1,0,1,0,0
5,0,10,0,1,0,1,1,0,1,0,0
2,1,1,0,1,0,1,0,1,0,1,0
0,1,1,0,1,0,1,1,0,1,0,0
6,2,6,0,1,0,1,1,0,0,0,1
28,0,9,0,1,0,1,1,0,0,1,0
8,2,7,0,1,0,1,1,0,1,0,0
6,0,9,0,1,1,0,1,0,0,0,1
2,1,1,1,0,0,1,1,0,0,1,0
12,2,6,1,0,0,1,1,0,0,1,0
1,2,5,1,0,0,1,0,1,0,0,1
1,1,2,1,0,0,1,1,0,1,0,0
1,0,10,0,1,0,1,1,0,0,0,1
0,1,1,0,1,0,1,0,1,0,1,0
3,1,2,0,1,0,1,0,1,1,0,0
3,1,1,0,1,0,1,0,1,0,1,0
4,2,6,0,1,0,1,0,1,1,0,0
0,1,1,0,1,0,1,0,1,0,1,0
1,1,1,0,1,0,1,0,1,0,1,0
6,0,9,0,1,1,0,0,1,0,0,1
2,0,9,1,0,0,1,0,1,0,0,1
2,0,9,1,0,0,1,1,0,1,0,0
1,1,2,0,1,0,1,1,0,1,0,0
0,1,2,1,0,1,0,0,1,1,0,0
6,0,9,0,1,0,1,0,1,1,0,0
0,1,4,1,0,0,1,0,1,1,0,0
0,1,1,1,0,0,1,1,0,0,1,0
4,1,4,0,1,0,1,1,0,1,0,0
0,1,1,1,0,1,0,0,1,0,1,0
0,2,5,0,1,0,1,1,0,1,0,0
4,2,7,0,1,0,1,1,0,1,0,0
1,1,3,1,0,0,1,0,1,1,0,0
33,2,6,0,1,0,1,1,0,0,1,0
2,2,5,0,1,0,1,0,1,1,0,0
1,1,1,1,0,0,1,0,1,0,1,0
1,1,2,0,1,0,1,0,1,1,0,0
1,2,7,0,1,0,1,1,0,1,0,0
4,1,3,1,0,0,1,0,1,0,1,0
12,1,2,1,0,1,0,1,0,1,0,0
0,1,2,1,0,1,0,1,0,1,0,0
0,1,1,1,0,1,0,0,1,0,1,0
2,1,3,1,0,0,1,1,0,1,0,0
6,1,4,0,1,1,0,1,0,1,0,0
10,2,7,0,1,0,1,1,0,0,1,0
5,2,5,0,1,0,1,1,0,1,0,0
0,1,2,0,1,0,1,0,1,0,0,1
1,2,7,0,1,0,1,0,1,0,1,0
0,0,8,1,0,0,1,1,0,0,1,0
4,2,5,1,0,0,1,1,0,0,1,0
0,1,4,0,1,0,1,1,0,0,0,1
4,1,4,0,1,0,1,0,1,1,0,0
0,1,2,0,1,0,1,0,1,0,0,1
0,0,9,1,0,0,1,0,1,0,0,1
6,1,4,0,1,0,1,0,1,1,0,0
1,1,3,1,0,0,1,1,0,1,0,0
0,1,2,0,1,0,1,1,0,1,0,0
6,1,4,0,1,0,1,1,0,1,0,0
1,1,1,0,1,0,1,0,1,1,0,0
0,1,3,0,1,0,1,0,1,0,0,1
0,1,3,0,1,0,1,0,1,1,0,0
0,2,7,0,1,0,1,1,0,1,0,0
14,2,7,0,1,0,1,1,0,1,0,0
9,0,10,1,0,0,1,0,1,0,0,1
6,0,10,0,1,0,1,0,1,0,0,1
1,1,1,1,0,0,1,0,1,0,1,0
5,0,9,0,1,0,1,1,0,1,0,0
2,2,6,0,1,0,1,0,1,0,1,0
1,1,3,1,0,0,1,1,0,1,0,0
0,2,5,0,1,0,1,1,0,1,0,0
2,1,2,0,1,0,1,0,1,0,0,1
8,2,5,0,1,0,1,1,0,1,0,0
6,2,6,0,1,0,1,1,0,0,1,0
3,2,6,0,1,0,1,1,0,1,0,0
3,1,3,0,1,0,1,1,0,1,0,0
3,2,5,0,1,0,1,1,0,0,0,1
1,1,1,1,0,0,1,0,1,0,1,0
3,2,7,0,1,0,1,1,0,0,0,1
3,1,3,1,0,0,1,1,0,0,1,0
0,1,1,0,1,0,1,1,0,1,0,0
1,2,6,0,1,0,1,0,1,1,0,0
16,0,8,0,1,0,1,1,0,1,0,0
0,1,3,1,0,1,0,1,0,1,0,0
1,2,5,0,1,0,1,1,0,0,0,1
2,1,4,0,1,0,1,0,1,1,0,0
5,1,4,0,1,0,1,0,1,1,0,0
5,1,4,1,0,0,1,1,0,1,0,0
11,1,3,1,0,0,1,0,1,1,0,0
6,1,2,0,1,1,0,1,0,1,0,0
0,1,1,1,0,0,1,0,1,1,0,0
15,2,7,0,1,0,1,1,0,1,0,0
0,1,3,1,0,1,0,1,0,1,0,0
1,1,4,0,1,0,1,0,1,0,0,1
2,1,1,1,0,1,0,0,1,0,1,0
5,1,1,0,1,0,1,0,1,0,1,0
8,2,6,0,1,0,1,0,1,1,0,0
0,1,1,1,0,0,1,0,1,0,1,0
0,1,1,1,0,1,0,0,1,0,1,0
5,2,6,0,1,0,1,1,0,1,0,0
0,1,3,1,0,1,0,0,1,0,0,1
1,1,4,1,0,0,1,0,1,0,0,1
10,0,10,0,1,0,1,1,0,0,0,1
4,2,7,0,1,0,1,1,0,0,0,1
4,0,8,0,1,0,1,1,0,1,0,0
0,1,3,1,0,0,1,1,0,1,0,0
0,2,7,0,1,1,0,0,1,0,0,1
0,1,2,1,0,0,1,1,0,1,0,0
0,2,5,0,1,1,0,0,1,0,0,1
1,1,3,0,1,0,1,1,0,0,0,1
3,0,8,1,0,0,1,1,0,1,0,0
3,2,7,1,0,0,1,1,0,1,0,0
17,2,5,0,1,0,1,1,0,0,1,0
0,1,2,0,1,0,1,1,0,1,0,0
11,0,10,0,1,0,1,1,0,0,0,1
1,1,1,0,1,1,0,1,0,1,0,0
1,2,7,1,0,0,1,1,0,1,0,0
6,2,6,0,1,0,1,0,1,1,0,0
1,1,1,1,0,0,1,1,0,1,0,0
0,1,1,1,0,1,0,0,1,0,1,0
2,1,1,1,0,0,1,0,1,1,0,0
5,2,7,1,0,0,1,1,0,1,0,0
0,1,1,0,1,0,1,0,1,1,0,0
0,0,8,0,1,0,1,1,0,0,0,1
4,2,5,0,1,0,1,1,0,1,0,0
0,1,1,1,0,0,1,0,1,0,1,0
2,1,2,1,0,0,1,0,1,1,0,0
10,1,3,0,1,0,1,1,0,1,0,0
6,0,8,1,0,0,1,1,0,1,0,0
9,1,3,1,0,0,1,1,0,0,1,0
3,0,10,0,1,1,0,0,1,0,0,1
0,2,5,1,0,1,0,1,0,0,0,1
2,0,10,0,1,1,0,0,1,0,0,1
1,1,1,1,0,0,1,1,0,1,0,0
0,1,1,1,0,0,1,1,0,1,0,0
15,2,6,0,1,0,1,1,0,0,1,0
4,0,10,0,1,0,1,1,0,0,0,1
4,0,9,0,1,0,1,1,0,0,0,1
3,2,7,0,1,0,1,0,1,1,0,0
5,0,9,1,0,0,1,0,1,1,0,0
1,2,5,0,1,0,1,0,1,1,0,0
3,2,5,0,1,0,1,0,1,0,0,1
0,1,1,0,1,0,1,1,0,1,0,0
18,0,9,0,1,0,1,1,0,1,0,0
0,1,3,0,1,1,0,0,1,1,0,0
4,1,2,0,1,1,0,1,0,0,1,0
0,1,4,1,0,1,0,0,1,0,1,0
0,1,3,0,1,0,1,1,0,0,0,1
0,0,8,0,1,1,0,1,0,0,0,1
0,1,2,0,1,0,1,1,0,1,0,0
1,0,10,0,1,0,1,0,1,0,0,1
2,1,4,0,1,0,1,0,1,0,0,1
3,1,4,0,1,0,1,0,1,1,0,0
8,0,8,0,1,0,1,1,0,1,0,0
10,2,6,0,1,1,0,1,0,1,0,0
1,2,6,0,1,1,0,0,1,0,1,0
4,2,7,0,1,0,1,1,0,0,0,1
2,1,2,0,1,0,1,0,1,1,0,0
0,0,8,0,1,0,1,1,0,1,0,0
1,1,4,0,1,0,1,1,0,0,0,1
9,1,2,0,1,1,0,1,0,1,0,0
13,2,7,0,1,0,1,1,0,1,0,0
1,1,1,0,1,0,1,0,1,1,0,0
23,0,10,0,1,0,1,1,0,1,0,0
20,0,9,0,1,0,1,1,0,0,1,0
3,2,7,0,1,0,1,1,0,0,0,1
1,0,9,1,0,0,1,1,0,1,0,0
2,1,2,1,0,0,1,1,0,0,1,0
0,1,4,1,0,0,1,1,0,1,0,0
0,1,3,0,1,1,0,1,0,1,0,0
1,1,1,1,0,0,1,0,1,0,1,0
0,2,5,0,1,0,1,1,0,0,0,1
11,1,4,0,1,0,1,1,0,1,0,0
5,2,5,0,1,0,1,0,1,1,0,0
2,2,7,1,0,0,1,1,0,1,0,0
0,1,1,1,0,1,0,1,0,1,0,0
2,1,3,0,1,1,0,0,1,0,1,0
0,1,2,1,0,0,1,1,0,1,0,0
0,2,7,1,0,0,1,1,0,1,0,0
17,0,9,0,1,0,1,1,0,0,1,0
3,0,9,0,1,0,1,1,0,0,0,1
0,1,2,1,0,1,0,0,1,1,0,0
15,0,9,0,1,1,0,0,1,1,0,0
2,0,10,1,0,0,1,1,0,0,0,1
3,1,4,0,1,0,1,1,0,1,0,0
3,1,1,0,1,0,1,0,1,0,1,0
15,0,9,0,1,0,1,1,0,1,0,0
2,1,2,0,1,1,0,1,0,1,0,0
5,2,7,0,1,0,1,1,0,1,0,0
4,2,5,1,0,0,1,1,0,1,0,0
1,2,5,1,0,0,1,1,0,1,0,0
